190666E,B,3.0
190849T,B-,2.7
200001H,A,4.0
200002L,B+,3.3
200003P,A-,3.7
200004U,A-,3.7
200005A,A,4.0
200006D,A,4.0
200007G,B,3.0
200008K,A-,3.7
200009N,A,4.0
200010J,A-,3.7
200011M,B-,2.7
200012R,A,4.0
200013V,B,3.0
200014B,A,4.0
200015E,A-,3.7
200016H,B+,3.3
200017L,C,2.0
200018P,B,3.0
200019U,B+,3.3
200020N,B+,3.3
200021T,A,4.0
200022X,A,4.0
200023C,A,4.0
200024F,B+,3.3
200025J,B+,3.3
200026M,A,4.0
200027R,A,4.0
200028V,A-,3.7
200029B,A,4.0
200030U,A-,3.7
200031A,B+,3.3
200032D,B+,3.3
200033G,A,4.0
200034K,A,4.0
200035N,A+,4.0
200036T,A,4.0
200037X,A-,3.7
200038C,A-,3.7
200039F,A,4.0
200040B,A,4.0
200041E,A-,3.7
200042H,B+,3.3
200043L,C+,2.3
200044P,B,3.0
200045U,B+,3.3
200046A,B,3.0
200047D,B+,3.3
200048G,A,4.0
200049K,C+,2.3
200050F,A-,3.7
200051J,A-,3.7
200052M,B-,2.7
200053R,A-,3.7
200054V,B+,3.3
200055B,A-,3.7
200056E,B+,3.3
200057H,A,4.0
200058L,B+,3.3
200059P,A,4.0
200060K,B+,3.3
200061N,A,4.0
200062T,A-,3.7
200063X,A,4.0
200064C,A,4.0
200065F,C+,2.3
200066J,B+,3.3
200067M,B,3.0
200068R,A,4.0
200069V,A,4.0
200070P,A,4.0
200071U,A-,3.7
200072A,A,4.0
200073D,A-,3.7
200074G,B-,2.7
200075K,A,4.0
200076N,D,1.0
200077T,C,2.0
200078X,A,4.0
200079C,B,3.0
200080V,A-,3.7
200081B,B+,3.3
200082E,A,4.0
200083H,A-,3.7
200084L,A-,3.7
200085P,B+,3.3
200086U,F,0
200087A,A,4.0
200088D,A,4.0
200089G,A,4.0
200090C,B+,3.3
200091F,A-,3.7
200092J,B+,3.3
200093M,A,4.0
200094R,A+,4.0
200095V,A,4.0
200096B,B,3.0
200097E,C,2.0
200098H,B,3.0
200099L,B+,3.3
200100K,A,4.0
200101N,C+,2.3
200102T,A,4.0
200103X,A-,3.7
200104C,B+,3.3
200105F,A,4.0
200106J,A-,3.7
200107M,A-,3.7
200108R,A,4.0
200109V,A-,3.7
200110P,A,4.0
200111U,B-,2.7
200112A,B+,3.3
200113D,C+,2.3
200114G,A-,3.7
200115K,A,4.0
200116N,C+,2.3
200117T,A-,3.7
200118X,A-,3.7
200119C,A,4.0
200120V,B+,3.3
200121B,F,0
200122E,B+,3.3
200123H,A,4.0
200124L,B-,2.7
200125P,A,4.0
200126U,A-,3.7
200127A,B+,3.3
200128D,A-,3.7
200129G,B+,3.3
200130C,A+,4.0
200131F,B,3.0
200132J,B,3.0
200133M,B,3.0
200134R,A,4.0
200135V,A-,3.7
200136B,B-,2.7
200137E,A-,3.7
200138H,A,4.0
200139L,A,4.0
200140G,A-,3.7
200141K,B-,2.7
200142N,A-,3.7
200143T,B-,2.7
200144X,A+,4.0
200145C,B+,3.3
200146F,B+,3.3
200147J,B+,3.3
200148M,A,4.0
200149R,A-,3.7
200150L,B,3.0
200151P,A+,4.0
200152U,B+,3.3
200153A,B-,2.7
200154D,A,4.0
200155G,A,4.0
200156K,A-,3.7
200157N,A,4.0
200158T,A-,3.7
200159X,A-,3.7
200160R,A,4.0
200161V,B+,3.3
200162B,F,0
200163E,A+,4.0
200164H,A+,4.0
200165L,A,4.0
200166P,B,3.0
200167U,A-,3.7
200168A,A-,3.7
200169D,A-,3.7
200170X,B+,3.3
200171C,B,3.0
200172F,A,4.0
200173J,A+,4.0
200174M,B+,3.3
200175R,A+,4.0
200176V,A-,3.7
200177B,B-,2.7
200178E,A,4.0
200179H,A,4.0
200180D,A,4.0
200181G,B,3.0
200182K,B+,3.3
200183N,A,4.0
200184T,A,4.0
200185X,A-,3.7
200186C,A,4.0
200187F,A-,3.7
200188J,A-,3.7
200189M,A,4.0
200190H,A,4.0
200191L,B-,2.7
200192P,B+,3.3
200193U,B+,3.3
200194A,A-,3.7
200195D,A,4.0
200196G,A-,3.7
200197K,A,4.0
200198N,B,3.0
200199T,A,4.0
200200R,F,0
200201V,A+,4.0
200202B,A,4.0
200203E,B+,3.3
200204H,B-,2.7
200205L,B-,2.7
200206P,A-,3.7
200207U,A,4.0
200208A,B,3.0
200209D,B,3.0
200210X,B,3.0
200211C,B+,3.3
200212F,A,4.0
200213J,F,0
200214M,B+,3.3
200215R,B-,2.7
200216V,B,3.0
200217B,A-,3.7
200218E,C-,1.7
200219H,B+,3.3
200220D,B,3.0
200221G,B+,3.3
200222K,A,4.0
200223N,A,4.0
200224T,B+,3.3
200225X,A,4.0
200226C,A-,3.7
200227F,A,4.0
200228J,B+,3.3
200229M,B+,3.3
200230H,C+,2.3
200231L,A-,3.7
200232P,A-,3.7
200233U,A-,3.7
200234A,A-,3.7
200235D,B+,3.3
200236G,B+,3.3
200237K,B,3.0
200238N,A,4.0
200239T,A,4.0
200240M,A+,4.0
200241R,C,2.0
200242V,A,4.0
200243B,B-,2.7
200244E,B+,3.3
200245H,C+,2.3
200246L,B-,2.7
200247P,A,4.0
200248U,B+,3.3
200249A,A,4.0
200250T,B+,3.3
200251X,B+,3.3
200252C,F,0
200253F,F,0
200254J,A,4.0
200255M,A,4.0
200256R,B-,2.7
200257V,B-,2.7
200258B,B+,3.3
200259E,B-,2.7
200260A,A,4.0
200261D,F,0
200262G,A+,4.0
200263K,B,3.0
200264N,A,4.0
200265T,A,4.0
200266X,B+,3.3
200267C,B-,2.7
200268F,B,3.0
200269J,A,4.0
200270E,B,3.0
200271H,C+,2.3
200272L,A,4.0
200273P,A,4.0
200274U,A+,4.0
200275A,A-,3.7
200276D,A+,4.0
200277G,A-,3.7
200278K,C+,2.3
200279N,A,4.0
200280J,B+,3.3
200281M,A,4.0
200282R,B+,3.3
200283V,A+,4.0
200284B,A,4.0
200285E,A-,3.7
200286H,B+,3.3
200287L,A+,4.0
200288P,D,1.0
200289U,A-,3.7
200290N,B,3.0
200291T,B+,3.3
200292X,B+,3.3
200293C,A-,3.7
200294F,A,4.0
200295J,A,4.0
200296M,A,4.0
200297R,A-,3.7
200298V,A-,3.7
200299B,B-,2.7
200300A,A,4.0
200301D,A,4.0
200302G,B+,3.3
200303K,A-,3.7
200304N,A,4.0
200305T,A,4.0
200306X,A-,3.7
200307C,A,4.0
200308F,A-,3.7
200309J,A-,3.7
200310E,A-,3.7
200311H,B+,3.3
200312L,A,4.0
200313P,B+,3.3
200314U,B+,3.3
200315A,A-,3.7
200316D,A,4.0
200317G,B,3.0
200318K,A+,4.0
200319N,A-,3.7
200320J,B,3.0
200321M,B+,3.3
200322R,A,4.0
200323V,A,4.0
200324B,B,3.0
200325E,B-,2.7
200326H,C-,1.7
200327L,A,4.0
200328P,B+,3.3
200329U,C-,1.7
200330N,B+,3.3
200331T,A+,4.0
200332X,A,4.0
200333C,A,4.0
200334F,A-,3.7
200335J,A-,3.7
200336M,B+,3.3
200337R,B,3.0
200338V,B-,2.7
200339B,A,4.0
200340U,A-,3.7
200341A,A,4.0
200342D,B+,3.3
200343G,A,4.0
200344K,C,2.0
200345N,A,4.0
200346T,A,4.0
200347X,B+,3.3
200348C,A-,3.7
200349F,A,4.0
200350B,A,4.0
200351E,A,4.0
200352H,A,4.0
200353L,B+,3.3
200354P,A+,4.0
200355U,A-,3.7
200356A,A,4.0
200357D,A-,3.7
200358G,A,4.0
200359K,A-,3.7
200360F,A-,3.7
200361J,B-,2.7
200362M,B+,3.3
200363R,A,4.0
200364V,A-,3.7
200365B,B+,3.3
200366E,A,4.0
200367H,B+,3.3
200368L,A,4.0
200369P,B,3.0
200370K,F,0
200371N,B+,3.3
200372T,B-,2.7
200373X,A+,4.0
200374C,B+,3.3
200375F,A,4.0
200376J,B+,3.3
200377M,A-,3.7
200378R,A-,3.7
200379V,B-,2.7
200380P,B-,2.7
200381U,A+,4.0
200382A,A,4.0
200383D,A,4.0
200384G,A+,4.0
200385K,A-,3.7
200386N,B-,2.7
200387T,B,3.0
200388X,B-,2.7
200389C,A-,3.7
200390V,A,4.0
200391B,A,4.0
200392E,A,4.0
200393H,B+,3.3
200394L,A,4.0
200395P,A,4.0
200396U,A,4.0
200397A,A,4.0
200398D,A,4.0
200399G,A,4.0
200400F,B,3.0
200401J,A,4.0
200402M,C-,1.7
200403R,C+,2.3
200404V,A,4.0
200405B,A-,3.7
200406E,A-,3.7
200407H,A-,3.7
200408L,D,1.0
200409P,B+,3.3
200410K,B+,3.3
200411N,A-,3.7
200412T,B,3.0
200413X,A,4.0
200414C,A-,3.7
200415F,A-,3.7
200416J,A-,3.7
200417M,A,4.0
200418R,A,4.0
200419V,B-,2.7
200420P,B+,3.3
200421U,A,4.0
200422A,A,4.0
200423D,B+,3.3
200424G,B,3.0
200425K,A-,3.7
200426N,A,4.0
200427T,C,2.0
200428X,A,4.0
200429C,F,0
200430V,B,3.0
200431B,A+,4.0
200432E,A-,3.7
200433H,B-,2.7
200434L,A,4.0
200435P,A,4.0
200436U,A,4.0
200437A,B+,3.3
200438D,B+,3.3
200439G,A,4.0
200440C,A+,4.0
200441F,A,4.0
200442J,B,3.0
200443M,C+,2.3
200444R,A,4.0
200445V,A+,4.0
200446B,C,2.0
200447E,A,4.0
200448H,A,4.0
200449L,A,4.0
200450G,B+,3.3
200451K,B+,3.3
200452N,A-,3.7
200453T,A,4.0
200454X,B-,2.7
200455C,A,4.0
200456F,B,3.0
200457J,A-,3.7
200458M,A,4.0
200459R,B,3.0
200460L,A,4.0
200461P,F,0
200462U,A+,4.0
200463A,A,4.0
200464D,B,3.0
200465G,B,3.0
200466K,A,4.0
200467N,C-,1.7
200468T,B+,3.3
200469X,A-,3.7
200470R,A,4.0
200471V,A-,3.7
200472B,B+,3.3
200473E,A,4.0
200474H,B+,3.3
200475L,A-,3.7
200476P,A,4.0
200477U,A,4.0
200478A,B+,3.3
200479D,B,3.0
200480X,A,4.0
200481C,B,3.0
200482F,A,4.0
200483J,B+,3.3
200484M,A-,3.7
200485R,B+,3.3
200486V,A-,3.7
200487B,B,3.0
200488E,A,4.0
200489H,A-,3.7
200490D,A,4.0
200491G,B+,3.3
200492K,A-,3.7
200493N,A,4.0
200494T,A-,3.7
200495X,A-,3.7
200496C,B+,3.3
200497F,A-,3.7
200498J,B-,2.7
200499M,A,4.0
200500L,A,4.0
200501P,A-,3.7
200502U,A,4.0
200503A,B-,2.7
200504D,A-,3.7
200505G,A-,3.7
200506K,A+,4.0
200507N,A,4.0
200508T,A,4.0
200509X,B,3.0
200510R,A,4.0
200511V,A,4.0
200512B,A,4.0
200513E,B+,3.3
200514H,A,4.0
200515L,A,4.0
200516P,A,4.0
200517U,A,4.0
200518A,A,4.0
200519D,A+,4.0
200520X,A,4.0
200521C,A,4.0
200522F,A+,4.0
200523J,B+,3.3
200524M,A,4.0
200525R,A,4.0
200526V,B,3.0
200527B,A,4.0
200528E,B-,2.7
200529H,A,4.0
200530D,B,3.0
200531G,A-,3.7
200532K,A-,3.7
200533N,B,3.0
200534T,A,4.0
200535X,B+,3.3
200536C,A,4.0
200537F,A-,3.7
200538J,B+,3.3
200539M,A-,3.7
200540H,B,3.0
200541L,B,3.0
200542P,B+,3.3
200543U,A+,4.0
200544A,A,4.0
200545D,C+,2.3
200546G,A,4.0
200547K,B+,3.3
200548N,B+,3.3
200549T,A,4.0
200550M,B,3.0
200551R,A-,3.7
200552V,A,4.0
200553B,C+,2.3
200554E,A-,3.7
200555H,A,4.0
200556L,A-,3.7
200557P,B+,3.3
200558U,A-,3.7
200559A,B-,2.7
200560T,A,4.0
200561X,B+,3.3
200562C,B+,3.3
200563F,A-,3.7
200564J,A,4.0
200565M,B,3.0
200566R,A,4.0
200567V,B+,3.3
200568B,B,3.0
200569E,A,4.0
200570A,B+,3.3
200571D,A-,3.7
200572G,B,3.0
200573K,B,3.0
200574N,A,4.0
200575T,A,4.0
200576X,A,4.0
200577C,B,3.0
200578F,A-,3.7
200579J,B-,2.7
200580E,A,4.0
200581H,B-,2.7
200582L,B+,3.3
200583P,A+,4.0
200584U,B,3.0
200585A,C+,2.3
200586D,A,4.0
200587G,A-,3.7
200588K,A+,4.0
200589N,A,4.0
200590J,A,4.0
200591M,A,4.0
200592R,A,4.0
200593V,B-,2.7
200594B,A-,3.7
200595E,A,4.0
200596H,A,4.0
200597L,C+,2.3
200598P,B-,2.7
200599U,A-,3.7
200600T,B+,3.3
200601X,A+,4.0
200602C,C,2.0
200603F,B+,3.3
200604J,A-,3.7
200605M,A,4.0
200606R,A-,3.7
200607V,B,3.0
200608B,B+,3.3
200609E,D,1.0
200610A,B-,2.7
200611D,A,4.0
200612G,B+,3.3
200613K,C+,2.3
200614N,A,4.0
200615T,B+,3.3
200616X,B,3.0
200617C,A,4.0
200618F,C,2.0
200619J,A,4.0
200620E,F,0
200621H,A,4.0
200622L,A,4.0
200623P,A,4.0
200624U,C+,2.3
200625A,A-,3.7
200626D,C+,2.3
200627G,A-,3.7
200628K,A-,3.7
200629N,A,4.0
200630J,B-,2.7
200631M,B-,2.7
200632R,A,4.0
200633V,A-,3.7
200634B,B,3.0
200635E,A,4.0
200636H,A-,3.7
200637L,C+,2.3
200638P,A-,3.7
200639U,A-,3.7
200640N,A,4.0
200641T,A,4.0
200642X,C-,1.7
200643C,A-,3.7
200644F,B,3.0
200645J,A,4.0
200646M,B+,3.3
200647R,A,4.0
200648V,B-,2.7
200649B,A,4.0
200650U,A-,3.7
200651A,B,3.0
200652D,A-,3.7
200653G,D,1.0
200654K,B+,3.3
200655N,A+,4.0
200656T,A,4.0
200657X,A,4.0
200658C,A,4.0
200659F,B+,3.3
200660B,A,4.0
200661E,B,3.0
200662H,A,4.0
200663L,A,4.0
200664P,A,4.0
200665U,A,4.0
200666A,B+,3.3
200667D,C,2.0
200668G,A-,3.7
200669K,B,3.0
200670F,B,3.0
200671J,A,4.0
200672M,A,4.0
200673R,A-,3.7
200674V,B,3.0
200675B,B,3.0
200676E,B,3.0
200677H,B+,3.3
200678L,A,4.0
200679P,A,4.0
200680K,B+,3.3
200681N,A-,3.7
200682T,A,4.0
200683X,A-,3.7
200684C,C+,2.3
200685F,A,4.0
200686J,A,4.0
200687M,A,4.0
200688R,C+,2.3
200689V,B+,3.3
200690P,A,4.0
200691U,A-,3.7
200692A,A-,3.7
200693D,A,4.0
200694G,A,4.0
200695K,A-,3.7
200696N,A,4.0
200697T,A,4.0
200698X,A-,3.7
200699C,A,4.0
200700B,A,4.0
200701E,C+,2.3
200702H,A,4.0
200703L,A-,3.7
200704P,C+,2.3
200705U,A-,3.7
200706A,A,4.0
200707D,A+,4.0
200708G,A+,4.0
200709K,A,4.0
200710F,A,4.0
200711J,A-,3.7
200712M,A,4.0
200713R,A-,3.7
200714V,B+,3.3
200715B,B+,3.3
200716E,B+,3.3
200717H,A,4.0
200718L,A-,3.7
200719P,A,4.0
200720K,A-,3.7
200721N,A,4.0
200722T,A,4.0
200723X,A,4.0
200724C,B+,3.3
200725F,A,4.0
200726J,A-,3.7
200727M,A,4.0
200728R,A-,3.7
200729V,A+,4.0
200730P,A-,3.7
200731U,A,4.0
200732A,A-,3.7
200733D,A,4.0
200734G,A+,4.0
200735K,A-,3.7
200736N,C,2.0
200737T,C-,1.7
200738X,A,4.0
200739C,A-,3.7
200740V,A,4.0
200741B,A-,3.7
200742E,A,4.0
200743H,A-,3.7
200744L,B-,2.7
200745P,A,4.0
200746U,A,4.0
200747A,B,3.0
200748D,A-,3.7
200749G,A,4.0
200750C,A-,3.7
200751F,A,4.0
200752J,B-,2.7
200753M,B-,2.7
200754R,F,0
200755V,A-,3.7
200756B,A-,3.7
200757E,A,4.0
200758H,B+,3.3
200759L,A-,3.7
200760G,B,3.0
200761K,A-,3.7
200762N,C-,1.7
200763T,B+,3.3
200764X,B+,3.3
200765C,C+,2.3
200766F,A,4.0
200767J,B-,2.7
200768M,B+,3.3
200801K,F,0
200802N,C-,1.7
200803T,A,4.0
200804X,A-,3.7
200805C,C+,2.3
200806F,B-,2.7
200807J,C,2.0
200808M,C-,1.7
200809R,B+,3.3
200810L,B-,2.7
200811P,F,0
200812U,C,2.0
200813A,B-,2.7
200814D,B,3.0
200815G,C,2.0
200816K,D,1.0
200817N,B-,2.7
200818T,B,3.0
200819X,D,1.0
200820R,C+,2.3
200821V,D,1.0
200822B,C+,2.3
200823E,B,3.0
200824H,C+,2.3
200825L,C+,2.3
200826P,B,3.0
200827U,A-,3.7
200828A,B+,3.3
200829D,B,3.0
200830X,C+,2.3
200831C,C+,2.3
200832F,B+,3.3
200833J,A,4.0
200834M,B,3.0
200835R,B,3.0
200836V,C+,2.3
200837B,A,4.0
200838E,F,0
200839H,D,1.0
200840D,C+,2.3
200841G,A-,3.7
200842K,B-,2.7
200843N,B+,3.3
200844T,B,3.0
200845X,D,1.0
200846C,C+,2.3
200847F,C-,1.7
200848J,C,2.0
200849M,C+,2.3
200850H,D,1.0
200851L,C,2.0
200852P,A-,3.7
200853U,B-,2.7
200854A,C+,2.3
200855D,B,3.0
200856G,C,2.0
200857K,A+,4.0
200858N,C,2.0
200859T,B+,3.3
200860M,A,4.0
200861R,C+,2.3
200862V,B,3.0
200863B,B+,3.3
200864E,D,1.0
200865H,B,3.0
200866L,B,3.0
200868U,B-,2.7
200869A,C,2.0
200870T,C+,2.3
201001P,A,4.0
201002U,B+,3.3
201003A,B,3.0
201004D,A-,3.7
201005G,C-,1.7
201006K,B-,2.7
201007N,C+,2.3
201008T,B-,2.7
201009X,A,4.0
201010R,A-,3.7
201011V,C,2.0
201012B,B-,2.7
201013E,C,2.0
201014H,B-,2.7
201015L,C-,1.7
201016P,B,3.0
201017U,B-,2.7
201018A,B,3.0
201019D,C+,2.3
201020X,B-,2.7
201021C,C,2.0
201022F,B-,2.7
201023J,F,0
201024M,A-,3.7
201025R,B-,2.7
201026V,D,1.0
201027B,F,0
201028E,C+,2.3
201029H,B,3.0
201030D,C,2.0
201031G,C+,2.3
201032K,B,3.0
201033N,D,1.0
201034T,B-,2.7
201035X,C+,2.3
201036C,C-,1.7
201037F,B-,2.7
201038J,C,2.0
201039M,C+,2.3
201040H,C,2.0
201041L,B-,2.7
201042P,C,2.0
201043U,A-,3.7
201044A,C,2.0
201045D,A,4.0
201046G,A,4.0
201047K,C,2.0
201048N,A,4.0
201049T,C-,1.7
201050M,C,2.0
201051R,C+,2.3
201052V,C,2.0
201053B,B,3.0
201054E,A-,3.7
201055H,C,2.0
201056L,C,2.0
201057P,C+,2.3
201058U,C-,1.7
201059A,B,3.0
201060T,B-,2.7
201061X,B-,2.7
201062C,A,4.0
201063F,D,1.0
201064J,A-,3.7
201065M,B+,3.3
201066R,B-,2.7
201067V,D,1.0
201068B,C,2.0
201069E,B+,3.3
201070A,C+,2.3
201071D,C+,2.3
201072G,F,0
201073K,B+,3.3
201074N,A-,3.7
201075T,B+,3.3
201076X,C,2.0
201077C,C,2.0
201078F,B,3.0
201079J,F,0
201080E,C+,2.3
201081H,B-,2.7
201082L,B+,3.3
201083P,C+,2.3
201084U,B-,2.7
201085A,B+,3.3
201086D,A-,3.7
201087G,B+,3.3
201088K,B,3.0
201089N,F,0
201090J,C+,2.3
201091M,C-,1.7
201092R,C+,2.3
201093V,B-,2.7
